Model,FC Metric,accuracy_mean,accuracy_err,balanced_accuracy_mean,balanced_accuracy_err,precision_macro_mean,precision_macro_err,recall_macro_mean,recall_macro_err,f1_macro_mean,f1_macro_err,precision_micro_mean,precision_micro_err,recall_micro_mean,recall_micro_err,f1_micro_mean,f1_micro_err,jaccard_macro_mean,jaccard_macro_err,jaccard_micro_mean,jaccard_micro_err,auc_macro_mean,auc_macro_err,auc_micro_mean,auc_micro_err,hamming_loss_mean,hamming_loss_err
CNN,iCOH,0.9600148472678594,0.026681513934526002,0.9400442495235457,0.04110062585608487,0.9387265429339772,0.038729583623937414,0.9400442495235457,0.04110062585608487,0.9374079499554039,0.03897989892695031,0.9600148472678594,0.026681513934526002,0.9600148472678594,0.026681513934526002,0.9600148472678594,0.026681513934526002,0.8863887862017727,0.06471211671978228,0.9234707113595028,0.04847071135950276,0.995352579563798,0.0069859966025740405,0.99664124003634,0.004861993020729316,0.039985152732140684,0.02668151393452598
CNN,PDC,0.9717295850066935,0.02021443349154195,0.9520124852172491,0.04036202579105452,0.9534766869481454,0.038565408819955516,0.9520124852172491,0.04036202579105452,0.9511071926960522,0.04078984778061445,0.9717295850066935,0.02021443349154195,0.9717295850066935,0.02021443349154195,0.9717295850066935,0.02021443349154195,0.9102721116812609,0.06870714315305704,0.945311763448752,0.03779731258169994,0.9960512824362957,0.00608622588282326,0.9978647735810535,0.0030820371255897427,0.02827041499330656,0.020214433491541926
CNN,PLV,0.597333576731167,0.06400024339783372,0.3378377812256418,0.05894590509577674,0.3380496528771943,0.061768289708381274,0.3378377812256418,0.05894590509577674,0.3335536457570275,0.058124379469705056,0.597333576731167,0.06400024339783372,0.597333576731167,0.06400024339783372,0.597333576731167,0.06400024339783372,0.2588930625675779,0.03770410764850163,0.4269001855896263,0.06631248409363166,0.8094007161885153,0.03740602853105679,0.8921036387426969,0.030790874739023866,0.40266642326883295,0.06400024339783372
CNN,COH,0.6005663867591579,0.06117244736521843,0.33924130240333616,0.06637710888517673,0.33891475621887035,0.06831275640523227,0.33924130240333616,0.06637710888517673,0.3345541579952375,0.06524414254906757,0.6005663867591579,0.06117244736521843,0.6005663867591579,0.06117244736521843,0.6005663867591579,0.06117244736521843,0.2606318270741674,0.041331874093018695,0.43020589874960075,0.0630067709336572,0.8115725553432313,0.03551389215118028,0.8947146164307399,0.029342469133995297,0.39943361324084214,0.061172447365218485
CNN,Spectral Granger,0.9749589874650116,0.023443835949860103,0.9595300749966557,0.03360790688698756,0.9597059753249912,0.034297401807865,0.9595300749966557,0.03360790688698756,0.9583628560452127,0.034325051750890734,0.9749589874650116,0.023443835949860103,0.9749589874650116,0.023443835949860103,0.9749589874650116,0.023443835949860103,0.9231180100647773,0.059737704375182776,0.9514031131757471,0.04388866230869504,0.9917182823341946,0.008576379072678275,0.9951764393658806,0.0051973760049991435,0.025041012534988433,0.02344383594986005
MLP,iCOH,0.921648241450651,0.0364875988803699,0.8786233900933866,0.05545173127834546,0.8790276332195984,0.053873308880491466,0.8786233900933866,0.05545173127834546,0.8751662310443838,0.05516464807487531,0.921648241450651,0.0364875988803699,0.921648241450651,0.0364875988803699,0.921648241450651,0.0364875988803699,0.7870422616909344,0.08182381849842002,0.8553140080487908,0.061333397002962364,0.9846233455326692,0.011211357696587765,0.9895955439698543,0.007207782068919921,0.07835175854934892,0.036487598880369926
MLP,PDC,0.9470933917488134,0.02588127053669209,0.9122190665675786,0.04860753609169055,0.9128556610873995,0.04943826342658075,0.9122190665675786,0.04860753609169055,0.9094705018636257,0.047873004069927894,0.9470933917488134,0.02588127053669209,0.9470933917488134,0.02588127053669209,0.9470933917488134,0.02588127053669209,0.8410010953968812,0.07469472815301392,0.8999839640907069,0.046051379821044014,0.9859051669110117,0.011973673924515316,0.9923815280853685,0.0067576529705842825,0.052906608251186565,0.025881270536692216
GCN,Spectral Granger,0.9511312157721795,0.029919094560058257,0.9501459695048883,0.034168002381483764,0.9262671162662343,0.04373822971161234,0.9501459695048883,0.034168002381483764,0.9360274190116055,0.03797329823150408,0.9511312157721795,0.029919094560058257,0.9511312157721795,0.029919094560058257,0.9511312157721795,0.029919094560058257,0.8837453081511837,0.06478817298512607,0.9072777632670156,0.053345178997352694,0.9940648928423851,0.009398168573502397,0.9950412251234017,0.007292097483364901,0.04886878422782037,0.02991909456005841
GCN,COH,0.9511298527443105,0.024627723013265213,0.9421922991588784,0.037369276719081856,0.9263400081438531,0.04155379846314733,0.9421922991588784,0.037369276719081856,0.9319926467111761,0.03846495535059136,0.9511298527443105,0.024627723013265213,0.9511298527443105,0.024627723013265213,0.9511298527443105,0.024627723013265213,0.8766948173155164,0.06271825008206566,0.90721890487705,0.04544381701644107,0.9948922191320896,0.007736797845974919,0.9960105660721814,0.00511726946979385,0.048870147255689424,0.02462772301326518
GCN,PLV,0.9147819885603018,0.03599410977242301,0.9380614992695642,0.03348087636398556,0.8723620953884994,0.05052495044280181,0.9380614992695642,0.03348087636398556,0.8994960792661443,0.04072546213035377,0.9147819885603018,0.03599410977242301,0.9147819885603018,0.03599410977242301,0.9147819885603018,0.03599410977242301,0.8219619959393516,0.0654527338968689,0.8436024672563384,0.05981868347255459,0.9895417626541873,0.012642096003541159,0.9890185192392037,0.009548914096871308,0.08521801143969818,0.03599410977242304
GCN,PDC,0.9592091030789827,0.029209103078982612,0.9586152739076762,0.03344487460169043,0.9376553144865805,0.04275405144513189,0.9586152739076762,0.03344487460169043,0.9463448092647865,0.03803574530149012,0.9592091030789827,0.029209103078982612,0.9592091030789827,0.029209103078982612,0.9592091030789827,0.029209103078982612,0.9014377114735077,0.06481103420318801,0.9220345122188598,0.05286078340530043,0.9946582471648329,0.007824821388446646,0.9957590854952441,0.005476991831332212,0.0407908969210174,0.029209103078982328
